date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:43	839/839	---M--	200	added ('OK')	text/html	etag:%22b7bf192-347-d231da00%22	http://bamru.org/sgallery/cubs.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/cubs.htm	(from http://bamru.org/calendar.php)
19:10:43	842/842	---M--	200	added ('OK')	text/html	etag:%22b7bf1ad-34a-d2505e80%22	http://bamru.org/sgallery/sequoia.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/sequoia.htm	(from http://bamru.org/calendar.php)
19:10:43	846/846	---M--	200	added ('OK')	text/html	etag:%22b7bf1ae-34e-d2505e80%22	http://bamru.org/sgallery/tenaya_peak.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/tenaya_peak.htm	(from http://bamru.org/calendar.php)
19:10:43	840/840	---M--	200	added ('OK')	text/html	etag:%22b7bf1a1-348-d2411c40%22	http://bamru.org/sgallery/marin.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/marin.htm	(from http://bamru.org/calendar.php)
19:10:44	839/839	---M--	200	added ('OK')	text/html	etag:%22b7bf1a6-347-d2411c40%22	http://bamru.org/sgallery/plan.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/plan.htm	(from http://bamru.org/calendar.php)
19:10:44	839/839	---M--	200	added ('OK')	text/html	etag:%22b7bf19f-347-d2411c40%22	http://bamru.org/sgallery/lift.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/lift.htm	(from http://bamru.org/calendar.php)
19:10:44	840/840	---M--	200	added ('OK')	text/html	etag:%22b7bf199-348-d231da00%22	http://bamru.org/sgallery/falls.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/falls.htm	(from http://bamru.org/calendar.php)
19:10:44	843/843	---M--	200	added ('OK')	text/html	etag:%22b7bf187-34b-d22297c0%22	http://bamru.org/sgallery/allerton.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/allerton.htm	(from http://bamru.org/calendar.php)
19:10:44	835/835	---M--	200	added ('OK')	text/html	etag:%22b7bf1a3-343-d2411c40%22	http://bamru.org/sgallery/medical.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/medical.htm	(from http://bamru.org/calendar.php)
19:10:45	839/839	---M--	200	added ('OK')	text/html	etag:%22b7bf19a-347-d231da00%22	http://bamru.org/sgallery/help.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/help.htm	(from http://bamru.org/calendar.php)
19:10:45	830/830	---M--	200	added ('OK')	text/html	etag:%22b7bf188-33e-d22297c0%22	http://bamru.org/sgallery/arrest.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/arrest.htm	(from http://bamru.org/calendar.php)
19:10:45	840/840	---M--	200	added ('OK')	text/html	etag:%22b7bf190-348-d22297c0%22	http://bamru.org/sgallery/brush.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/brush.htm	(from http://bamru.org/calendar.php)
19:10:45	845/845	---M--	200	added ('OK')	text/html	etag:%22b7bf1a7-34d-d2505e80%22	http://bamru.org/sgallery/probe_line.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/probe_line.htm	(from http://bamru.org/calendar.php)
19:10:46	836/836	---M--	200	added ('OK')	text/html	etag:%22b7bf19e-344-d2411c40%22	http://bamru.org/sgallery/kootenay.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/kootenay.htm	(from http://bamru.org/calendar.php)
19:10:46	844/844	---M--	200	added ('OK')	text/html	etag:%22b7bf1af-34c-d2505e80%22	http://bamru.org/sgallery/transport.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/transport.htm	(from http://bamru.org/calendar.php)
19:10:46	836/836	---M--	200	added ('OK')	text/html	etag:%22b7bf191-344-d22297c0%22	http://bamru.org/sgallery/climbing.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/climbing.htm	(from http://bamru.org/calendar.php)
19:10:46	840/840	---M--	200	added ('OK')	text/html	etag:%22b7bf1b1-348-36507340%22	http://bamru.org/sgallery/vertical.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/vertical.htm	(from http://bamru.org/calendar.php)
19:10:47	843/843	---M--	200	added ('OK')	text/html	etag:%22b7bf18b-34b-d22297c0%22	http://bamru.org/sgallery/bay_area.htm	/home/aleak/websites/bamru_test/bamru.org/sgallery/bay_area.htm	(from http://bamru.org/calendar.php)
19:10:47	0/0	---M--	301	error ('')			http://bamru.org/blog	/home/aleak/websites/bamru_test/bamru.org/blog.42.delayed	(from http://bamru.org/calendar.php)
19:10:49	14222/14222	---M--	200	added ('OK')	image/gif	etag:%22b7b7848-378e-6e612ec0%22	http://bamru.org/assets/mapredwoodcity.gif	/home/aleak/websites/bamru_test/bamru.org/assets/mapredwoodcity.gif	(from http://bamru.org/calendar.php)
19:10:50	18899/18899	---M--	200	added ('OK')	image/gif	etag:%22b7b784a-49d3-6e51ec80%22	http://bamru.org/assets/mapredwoodcity_large.gif	/home/aleak/websites/bamru_test/bamru.org/assets/mapredwoodcity_large.gif	(from http://bamru.org/calendar.php)
19:10:51	26004/26004	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc413-6594-a8a25d00%22	http://bamru.org/images/mtn_2.jpg	/home/aleak/websites/bamru_test/bamru.org/images/mtn_2.jpg	(from http://bamru.org/calendar.php)
19:10:51	0/0	---M--	301	error ('')			http://bamru.org/blog	/home/aleak/websites/bamru_test/bamru.org/blog.48.delayed	(from http://bamru.org/calendar.php)
19:10:52	13810/13810	---M--	200	added ('OK')	image/gif	etag:%22b7b7842-35f2-6e42aa40%22	http://bamru.org/assets/mapeastbay.gif	/home/aleak/websites/bamru_test/bamru.org/assets/mapeastbay.gif	(from http://bamru.org/calendar.php)
19:10:53	19157/19157	---M--	200	added ('OK')	image/gif	etag:%22b7b7843-4ad5-6e336800%22	http://bamru.org/assets/mapeastbay_large.gif	/home/aleak/websites/bamru_test/bamru.org/assets/mapeastbay_large.gif	(from http://bamru.org/calendar.php)
19:10:53	2861/2861	---M--	200	added ('OK')	image/gif	etag:%22b7b7867-b2d-339d3bc0%22	http://bamru.org/assets/logos/mra64.gif	/home/aleak/websites/bamru_test/bamru.org/assets/logos/mra64.gif	(from http://bamru.org/calendar.php)
19:10:53	1391/1391	---M--	200	added ('OK')	image/gif	etag:%22b7b7864-56f-339d3bc0%22	http://bamru.org/assets/logos/carda64.gif	/home/aleak/websites/bamru_test/bamru.org/assets/logos/carda64.gif	(from http://bamru.org/calendar.php)
19:10:53	16660/16660	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc40c-4114-470b6140%22	http://bamru.org/images/glacier.jpg	/home/aleak/websites/bamru_test/bamru.org/images/glacier.jpg	(from http://bamru.org/calendar.php)
19:10:55	0/0	---M--	301	error ('')			http://bamru.org/blog	/home/aleak/websites/bamru_test/bamru.org/blog.4e.delayed	(from http://bamru.org/calendar.php)
19:10:55	0/0	---M--	301	error ('')			http://bamru.org/blog	/home/aleak/websites/bamru_test/bamru.org/blog.4f.delayed	(from http://bamru.org/calendar.php)
19:10:55	3015/3015	---M--	200	added ('OK')	image/gif	etag:%22b7b7868-bc7-339d3bc0%22	http://bamru.org/assets/logos/nasarweb64.gif	/home/aleak/websites/bamru_test/bamru.org/assets/logos/nasarweb64.gif	(from http://bamru.org/calendar.php)
19:10:56	1514/1514	---M--	200	added ('OK')	image/gif	etag:%22b7bc409-5ea-73dc77c0%22	http://bamru.org/images/address2.gif	/home/aleak/websites/bamru_test/bamru.org/images/address2.gif	(from http://bamru.org/calendar.php)
19:10:56	0/0	---M--	301	error ('')			http://bamru.org/blog	/home/aleak/websites/bamru_test/bamru.org/blog.52.delayed	(from http://bamru.org/calendar.php)
19:10:58	20187/20187	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc3d8-4edb-bda9c500%22	http://bamru.org/images/HawthornLZ.jpg	/home/aleak/websites/bamru_test/bamru.org/images/HawthornLZ.jpg	(from http://bamru.org/calendar.php)
19:10:59	18332/18332	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc40b-479c-2c65a580%22	http://bamru.org/images/canyon.jpg	/home/aleak/websites/bamru_test/bamru.org/images/canyon.jpg	(from http://bamru.org/join.html)
19:10:59	1043/1043	---M--	200	added ('OK')	text/html	etag:%22b7bf19c-413-d7151280%22	http://bamru.org/sgallery/	/home/aleak/websites/bamru_test/bamru.org/sgallery/index.html	(from http://bamru.org/sgallery.html)
19:11:00	1043/1043	---M--	200	added ('OK')	text/html	etag:%22b7bf19c-413-d7151280%22	http://bamru.org/sgallery/index.html	/home/aleak/websites/bamru_test/bamru.org/sgallery/index-2.html	(from http://bamru.org/sgallery.html)
19:11:00	10255/10255	---M--	200	added ('OK')	text/html	etag:%22b7b818b-280f-46697a40%22	http://bamru.org/gallery/	/home/aleak/websites/bamru_test/bamru.org/gallery/index.html	(from http://bamru.org/sgallery.html)
19:11:03	54040/54040	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Dec%202010%2000:33:28%20GMT	http://www.oes.ca.gov/webpage/oeswebsite.nsf/CalEMA_LogoHor.jpg	/home/aleak/websites/bamru_test/www.oes.ca.gov/webpage/oeswebsite.nsf/CalEMA_LogoHor.jpg	(from http://bamru.org/calendar.php)
19:11:03	3102/3102	---M--	200	added ('OK')	text/html	etag:%22b7bbc3a-c1e-b5ab86c0%22	http://bamru.org/gallery/pages/Basic_Rescue_02.html	/home/aleak/websites/bamru_test/bamru.org/gallery/pages/Basic_Rescue_02.html	(from http://bamru.org/sgallery.html)
19:11:05	7714/7714	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc30d-1e22-614a4a80%22	http://bamru.org/gallery/thumbnails/Basic_Rescue_02.jpg	/home/aleak/websites/bamru_test/bamru.org/gallery/thumbnails/Basic_Rescue_02.jpg	(from http://bamru.org/sgallery.html)
19:11:05	3293/3293	---M--	200	added ('OK')	text/html	etag:%22b7bbc3b-cdd-b5bac900%22	http://bamru.org/gallery/pages/Basic_Rescue_06.html	/home/aleak/websites/bamru_test/bamru.org/gallery/pages/Basic_Rescue_06.html	(from http://bamru.org/sgallery.html)
19:11:06	7924/7924	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc30f-1ef4-61598cc0%22	http://bamru.org/gallery/thumbnails/Basic_Rescue_06.jpg	/home/aleak/websites/bamru_test/bamru.org/gallery/thumbnails/Basic_Rescue_06.jpg	(from http://bamru.org/sgallery.html)
19:11:06	3293/3293	---M--	200	added ('OK')	text/html	etag:%22b7bbc3c-cdd-b5bac900%22	http://bamru.org/gallery/pages/Basic_Rescue_07.html	/home/aleak/websites/bamru_test/bamru.org/gallery/pages/Basic_Rescue_07.html	(from http://bamru.org/sgallery.html)
19:11:07	40954/40954	---M--	200	added ('OK')	image/gif	etag:%22b7b783f-9ffa-9a82ba80%22	http://bamru.org/assets/logo_wide.gif	/home/aleak/websites/bamru_test/bamru.org/assets/logo_wide.gif	(from http://bamru.org/sgallery.html)
19:11:07	3256/3256	---M--	200	added ('OK')	text/html	etag:%22b7bbc3e-cb8-b5ca0b40%22	http://bamru.org/gallery/pages/Basic_Rescue_11.html	/home/aleak/websites/bamru_test/bamru.org/gallery/pages/Basic_Rescue_11.html	(from http://bamru.org/sgallery.html)
19:11:08	7448/7448	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc310-1d18-61598cc0%22	http://bamru.org/gallery/thumbnails/Basic_Rescue_07.jpg	/home/aleak/websites/bamru_test/bamru.org/gallery/thumbnails/Basic_Rescue_07.jpg	(from http://bamru.org/sgallery.html)
19:11:08	3258/3258	---M--	200	added ('OK')	text/html	etag:%22b7bbc3f-cba-b5ca0b40%22	http://bamru.org/gallery/pages/Basic_Rescue_16b.html	/home/aleak/websites/bamru_test/bamru.org/gallery/pages/Basic_Rescue_16b.html	(from http://bamru.org/sgallery.html)
19:11:09	8814/8814	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc311-226e-6168cf00%22	http://bamru.org/gallery/thumbnails/Basic_Rescue_11.jpg	/home/aleak/websites/bamru_test/bamru.org/gallery/thumbnails/Basic_Rescue_11.jpg	(from http://bamru.org/sgallery.html)
19:11:09	3239/3239	---M--	200	added ('OK')	text/html	etag:%22b7bbc41-ca7-b5d94d80%22	http://bamru.org/gallery/pages/Basic_Rescue_18.html	/home/aleak/websites/bamru_test/bamru.org/gallery/pages/Basic_Rescue_18.html	(from http://bamru.org/sgallery.html)
19:11:09	5933/5933	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc313-172d-6168cf00%22	http://bamru.org/gallery/thumbnails/Basic_Rescue_16b.jpg	/home/aleak/websites/bamru_test/bamru.org/gallery/thumbnails/Basic_Rescue_16b.jpg	(from http://bamru.org/sgallery.html)
19:11:09	3206/3206	---M--	200	added ('OK')	text/html	etag:%22b7bbc42-c86-b5d94d80%22	http://bamru.org/gallery/pages/Dana_16.html	/home/aleak/websites/bamru_test/bamru.org/gallery/pages/Dana_16.html	(from http://bamru.org/sgallery.html)
19:11:10	7106/7106	---M--	200	added ('OK')	image/jpeg	etag:%22b7bc315-1bc2-6168cf00%22	http://bamru.org/gallery/thumbnails/Basic_Rescue_18.jpg	/home/aleak/websites/bamru_test/bamru.org/gallery/thumbnails/Basic_Rescue_18.jpg	(from http://bamru.org/sgallery.html)
19:11:10	3198/3198	---M--	200	added ('OK')	text/html	etag:%22b7bbc43-c7e-b5e88fc0%22	http://bamru.org/gallery/pages/Dana_19.html	/home/aleak/websites/bamru_test/bamru.org/gallery/pages/Dana_19.html	(from http://bamru.org/sgallery.html)
